Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,AudioLevel,LightLevel,Weather
213206.926,-0.06440716236829758,0.03745569288730621,0.12415790557861328,-0.24084866046905518,-0.43477919697761536,0.51743483543396,0.07703997,126.1277,Clouds
213206.956,-0.07141590863466263,0.06751854717731476,0.08128434419631958,0.26767927408218384,-0.8831982612609863,0.5549121499061584,0.07504407,126.1277,Clouds
213206.986,-0.0899391695857048,0.06090886890888214,-0.028384745121002197,0.23972347378730774,-0.4869980216026306,0.7039075493812561,0.13680992,126.1277,Clouds
213207.016,0.0055858781561255455,-0.03911438584327698,-0.21660715341567993,-1.112190842628479,-0.6814001202583313,0.5586966276168823,0.14537208,126.1277,Clouds
213207.046,-0.007642144337296486,-0.015617325901985168,-0.25929826498031616,-1.1016452312469482,-1.4286729097366333,-0.07518021762371063,0.13336049,126.1277,Clouds
213207.076,-0.19838932156562805,0.09604358673095703,0.03016453981399536,0.39740756154060364,-1.749369740486145,0.10158530622720718,0.12725896,126.1277,Clouds
213207.106,-0.14214497804641724,0.0609310120344162,0.2787858843803406,0.996557891368866,-1.636537790298462,0.6801543235778809,0.12715033,126.1277,Clouds
213207.136,-0.1336766630411148,0.06112021207809448,0.29560577869415283,0.7557783126831055,-4.341943740844727,0.60407954454422,0.22312818,126.1277,Clouds
213207.166,0.09087207913398743,0.20716023445129395,0.7662215828895569,0.3099817931652069,-5.993671894073486,-0.04930907115340233,0.23811258,126.1277,Clouds
213207.197,0.41006186604499817,-0.15607956051826477,0.8355133533477783,-0.5965142846107483,-5.324732780456543,2.330414295196533,0.21343094,126.1277,Clouds
213207.225,0.17960023880004883,0.6459308862686157,0.466947078704834,-1.3613831996917725,-6.736168384552002,3.427967071533203,0.19741109,126.1277,Clouds
213207.255,0.279671847820282,0.5623131394386292,0.4167059659957886,0.7863410711288452,-7.340602874755859,3.3744726181030273,0.18138877,126.1277,Clouds
213207.285,0.25783771276474,0.35973066091537476,0.03491997718811035,1.2392770051956177,-6.284366130828857,2.560058116912842,0.15710123,126.1277,Clouds
213207.314,-0.05397999286651611,0.4854273498058319,-0.076515793800354,0.08869175612926483,-4.873793601989746,3.1542770862579346,0.14456896,126.1277,Clouds
213207.344,-0.15036308765411377,0.5291191339492798,-0.13494263589382172,-0.8435763716697693,-3.1648812294006348,4.269953727722168,0.12317543,126.1277,Clouds
213207.374,-0.23747897148132324,0.4811578691005707,-0.1264827847480774,-0.8750446438789368,-1.6063193082809448,4.456421852111816,0.121318884,126.1277,Clouds
213207.404,-0.20381569862365723,0.42029598355293274,-0.12344282865524292,-0.8048664927482605,-0.2783277630805969,4.085085391998291,0.12267721,126.1277,Clouds
213207.434,-0.3201866149902344,0.4248727560043335,-0.11300981044769287,-1.0630122423171997,-0.294297993183136,4.390862941741943,0.1489408,126.1277,Clouds
213207.464,-0.5490467548370361,0.34179967641830444,-0.0830010175704956,-0.8517827391624451,-0.8998976349830627,4.506816387176514,0.1984965,126.1277,Clouds
213207.494,-0.7439718842506409,0.16118615865707397,-0.11715342104434967,-0.33552590012550354,-0.723066508769989,4.123440742492676,0.18044455,126.1277,Clouds
213207.523,-0.8196894526481628,-0.016518831253051758,-0.1967843770980835,-0.22904632985591888,-0.02957921288907528,3.6617889404296875,0.17995524,126.1277,Clouds
213207.553,-0.7881360650062561,-0.12939536571502686,-0.29533958435058594,-0.23648633062839508,-0.0604945570230484,2.851497173309326,0.18827473,126.1277,Clouds
213207.583,-0.8320938348770142,-0.20742195844650269,-0.2508871555328369,0.6643598079681396,-0.7015078067779541,1.6605548858642578,0.25927725,126.1277,Clouds
213207.613,-0.8680567741394043,-0.20213258266448975,-0.12388288974761963,1.318914532661438,-1.1498920917510986,-0.15516068041324615,0.24075828,126.1277,Clouds
213207.643,-1.1492500305175781,0.08045703172683716,-0.0723191499710083,0.8581361174583435,-0.9449548721313477,-0.8320508599281311,0.22159214,126.1277,Clouds
213207.673,-0.85094153881073,-0.25590842962265015,-0.14704012870788574,0.6525695323944092,-0.30334383249282837,-0.21572761237621307,0.20754865,126.1277,Clouds
213207.702,-0.32081806659698486,-0.49110257625579834,-0.299796462059021,0.9959312677383423,-0.18927575647830963,-1.084223747253418,0.19614652,126.1277,Clouds
213207.732,-0.26237916946411133,-0.42504066228866577,-0.2276308536529541,1.2721434831619263,-0.19309625029563904,-1.8446961641311646,0.16837758,126.1277,Clouds
213207.762,-0.25461453199386597,-0.21259140968322754,-0.2442021369934082,0.9725045561790466,-0.6111292839050293,-2.1333978176116943,0.1643757,126.1277,Clouds
213207.792,-0.29384756088256836,-0.0031459927558898926,-0.25981247425079346,1.0452673435211182,-1.2934191226959229,-2.201057195663452,0.14755444,126.1277,Clouds
213207.822,-0.22050344944000244,0.03213721513748169,-0.21959513425827026,1.7463055849075317,-1.9000664949417114,-2.0375609397888184,0.1381254,126.1277,Clouds
213207.852,-0.15328693389892578,-0.06940466165542603,-0.2339690923690796,2.1966710090637207,-2.025236129760742,-1.850050449371338,0.13394286,126.1277,Clouds
213207.882,-0.009935081005096436,-0.09677374362945557,-0.20030444860458374,2.226989269256592,-1.8683803081512451,-1.9541995525360107,0.121490486,126.1277,Clouds
213207.912,0.03507870435714722,-0.014852344989776611,-0.23766791820526123,1.7614383697509766,-1.5306698083877563,-1.9814373254776,0.11323177,126.1277,Clouds
213207.941,0.1769545078277588,0.08446675539016724,-0.2207621932029724,1.1365678310394287,-1.1730055809020996,-2.1284945011138916,0.10255922,126.1277,Clouds
213207.971,0.10527658462524414,0.16638994216918945,-0.21418213844299316,0.5706029534339905,-1.006135106086731,-1.8377859592437744,0.15683196,126.1277,Clouds
213208.001,0.1109190583229065,0.21505868434906006,-0.20953381061553955,0.3583490252494812,-0.7900869250297546,-1.3467243909835815,0.14690015,126.1277,Clouds
213208.030,0.25883233547210693,0.31607750058174133,-0.27997106313705444,0.11103927344083786,-0.5776965618133545,-0.9068388342857361,0.21528462,126.1277,Clouds
213208.060,0.31979483366012573,0.34033486247062683,-0.2687840461730957,0.1636955589056015,-0.6689925193786621,-0.5179206132888794,0.20214985,126.1277,Clouds
213208.090,0.30120551586151123,0.371466726064682,-0.30340027809143066,0.14125777781009674,-0.4409204125404358,-0.1255636215209961,0.27784586,126.1277,Clouds
213208.120,0.3773966431617737,0.369008868932724,-0.2883528470993042,0.5013881921768188,-0.720931887626648,-0.014835251495242119,0.2605284,126.1277,Clouds
213208.150,0.4493826627731323,0.43097078800201416,-0.3016810417175293,0.7401213049888611,-0.8570533394813538,-0.18424910306930542,0.23876289,126.1277,Clouds
213208.180,0.378920316696167,0.4642389416694641,-0.20925915241241455,1.0976227521896362,-0.8393110036849976,-0.05015602335333824,0.22425853,126.1277,Clouds
213208.210,0.3449586033821106,0.4788186550140381,-0.15970945358276367,1.1937860250473022,-0.8181433081626892,0.3198285400867462,0.20982586,126.1277,Clouds
213208.239,0.17412596940994263,0.6959391236305237,-0.13227105140686035,0.9893589019775391,-1.0881704092025757,0.4519740641117096,0.1807693,126.1277,Clouds
213208.269,0.01768505573272705,0.77685546875,-0.1458115577697754,0.679487943649292,-1.1303298473358154,1.0190956592559814,0.16620332,126.1277,Clouds
213208.299,0.12474650144577026,0.44987407326698303,-0.14617109298706055,0.8029910922050476,-0.3627983629703522,2.3316986560821533,0.15604533,126.1277,Clouds
213208.329,0.30257850885391235,0.0687030553817749,-0.1428203582763672,1.0546427965164185,0.5348126888275146,3.103692054748535,0.13392153,126.1277,Clouds
213208.358,0.13489753007888794,-0.044689178466796875,-0.02960788831114769,1.4810535907745361,0.9890798330307007,3.2390787601470947,0.12366346,126.1277,Clouds
213208.388,-0.08490103483200073,0.007467091083526611,0.07400047779083252,1.9752750396728516,0.879025399684906,2.98232364654541,0.11190634,126.1277,Clouds
213208.418,-0.2536240816116333,0.10040247440338135,0.08137213438749313,1.9446624517440796,0.2831025719642639,2.430659532546997,0.10505413,126.1277,Clouds
213208.448,-0.2987321615219116,0.1643272042274475,0.052484214305877686,1.5812299251556396,-0.6995580196380615,1.9191209077835083,0.10053643,126.1277,Clouds
213208.478,-0.341442346572876,-0.008379340171813965,0.16562111675739288,1.7779316902160645,-1.2505711317062378,1.7273657321929932,0.09281636,126.1277,Clouds
213208.507,-0.2671082615852356,-0.20999491214752197,0.15333087742328644,1.7556003332138062,-0.9819680452346802,1.484298825263977,0.085770495,126.1277,Clouds
213208.537,-0.21807551383972168,-0.29525983333587646,0.11926163733005524,1.0169377326965332,-0.2774856686592102,1.0807994604110718,0.15229183,126.1277,Clouds
213208.567,-0.2371290922164917,-0.28945714235305786,0.16300678253173828,0.4069649279117584,0.48463132977485657,0.7634223103523254,0.14376625,126.1277,Clouds
213208.597,-0.2885168194770813,-0.28164201974868774,0.1867963671684265,-0.10219336301088333,1.009740948677063,0.4611532688140869,0.13588776,126.1277,Clouds
213208.627,-0.33549800515174866,-0.2890743017196655,0.22786730527877808,-0.6794700622558594,1.4295873641967773,0.11200758069753647,0.13051017,126.1277,Clouds
213208.657,-0.26546984910964966,-0.3097164034843445,0.163542702794075,-0.953201413154602,1.187864065170288,-0.2649107277393341,0.16296221,126.1277,Clouds
213208.686,-0.24318435788154602,-0.29333633184432983,0.10387277603149414,-0.8380556106567383,0.3883313536643982,-0.5395519733428955,0.2617685,126.1277,Clouds
213208.716,-0.3115515112876892,-0.2477351427078247,0.038311704993247986,-0.8118249177932739,-0.009869596920907497,-0.5598595142364502,0.2470567,126.1277,Clouds
213208.746,-0.30890220403671265,-0.22295939922332764,-0.036512717604637146,-0.7646840810775757,-0.2558495104312897,-0.634404718875885,0.22628915,126.1277,Clouds
213208.776,-0.302717387676239,-0.17510384321212769,-0.09045208990573883,-0.62959223985672,-0.5708305239677429,-0.8397901654243469,0.1872103,126.1277,Clouds
213208.806,-0.30281227827072144,-0.1371259093284607,-0.11245918273925781,-0.4074792265892029,-0.6636796593666077,-1.07749605178833,0.17206654,126.1277,Clouds
213208.836,-0.3129243850708008,-0.004440665245056152,-0.1895962357521057,-0.596415638923645,-0.6121323108673096,-1.4209084510803223,0.14842412,126.1277,Clouds
213208.865,-0.44054603576660156,0.2489544153213501,-0.16449064016342163,-0.6656683087348938,-0.7292804718017578,-1.6978312730789185,0.13579066,126.1277,Clouds
213208.895,-0.5340533256530762,0.20338159799575806,-0.03661876916885376,-0.09235958755016327,-0.29602551460266113,-1.0308758020401,0.1273992,126.1277,Clouds
213208.925,-0.20439547300338745,-0.05870175361633301,-0.11632733792066574,0.355842649936676,0.005388285033404827,-0.6858044266700745,0.116523676,126.1277,Clouds
213208.955,-0.016627252101898193,-0.08236700296401978,-0.22551965713500977,0.19316738843917847,-0.39590516686439514,-1.4308303594589233,0.11444466,126.1277,Clouds
213208.985,-0.1618175506591797,0.14559942483901978,-0.11022871732711792,0.25307202339172363,-0.47219762206077576,-2.0860679149627686,0.10535157,126.1277,Clouds
213209.015,-0.20883846282958984,0.31318873167037964,-0.09161508083343506,0.26695364713668823,-0.5615950226783752,-2.1093533039093018,0.09838108,126.1277,Clouds
213209.045,-0.03962123394012451,0.2461552619934082,-0.13822442293167114,0.2575811743736267,-0.6458852291107178,-1.6929824352264404,0.091447584,126.1277,Clouds
213209.074,0.15929299592971802,0.13160550594329834,-0.18525296449661255,0.3781070113182068,-0.8226181864738464,-1.459357738494873,0.081831984,126.1277,Clouds
213209.104,0.23868286609649658,0.062316954135894775,-0.1622348427772522,0.7775318026542664,-0.6137059926986694,-1.41560697555542,0.07685951,126.1277,Clouds
213209.134,0.31123000383377075,0.06379640102386475,-0.1479395031929016,1.0726391077041626,-0.3983600437641144,-1.474919080734253,0.06495647,126.1277,Clouds
213209.164,0.33711111545562744,0.12846457958221436,-0.10211330652236938,1.1361416578292847,-0.2101108282804489,-1.386160135269165,0.06251876,126.1277,Clouds
213209.194,0.36811065673828125,0.1985352635383606,-0.09296870231628418,1.0757421255111694,-0.34793949127197266,-1.2203556299209595,0.060046002,126.1277,Clouds
213209.224,0.35879456996917725,0.261808305978775,-0.06538038700819016,0.8818264007568359,-0.4047808051109314,-0.9258278012275696,0.05620273,126.1277,Clouds
213209.253,0.3768404722213745,0.29018011689186096,-0.08827340602874756,0.5452315807342529,-0.3974834680557251,-0.4862251281738281,0.053666152,126.1277,Clouds
213209.283,0.40947234630584717,0.2813735902309418,-0.10191482305526733,0.3045775592327118,-0.4600713849067688,-0.13032622635364532,0.062415816,126.1277,Clouds
213209.313,0.36961817741394043,0.306336373090744,-0.10677367448806763,0.2167971432209015,-0.4696393609046936,0.06262265890836716,0.057515394,126.1277,Clouds
213209.343,0.3045676350593567,0.37949565052986145,-0.10913592576980591,0.10802425444126129,-0.28360113501548767,0.21323193609714508,0.05387495,126.1277,Clouds
213209.373,0.24977844953536987,0.4663039445877075,-0.10077649354934692,-0.0046055931597948074,-0.044004663825035095,0.4678865969181061,0.050049536,126.1277,Clouds
213209.403,0.19576513767242432,0.5872251987457275,-0.10055965185165405,-0.16689187288284302,-0.010687654837965965,0.723808228969574,0.04754359,126.1277,Clouds
213209.432,-0.0021371841430664062,0.8181509375572205,-0.07391440868377686,-0.3250661790370941,-0.1639605015516281,1.0518907308578491,0.047225956,126.1277,Clouds
213209.462,-0.06423801183700562,0.7090093493461609,-0.02865922451019287,-0.19266505539417267,0.12090243399143219,1.9692786931991577,0.04304006,126.1277,Clouds
213209.492,0.22180676460266113,0.22690147161483765,-0.08806979656219482,0.19517821073532104,0.28212064504623413,2.8942439556121826,0.049469538,126.1277,Clouds
213209.522,0.23589938879013062,0.02763068675994873,-0.09199833869934082,0.7527631521224976,0.030277783051133156,3.1354899406433105,0.16387205,126.1277,Clouds
213209.552,-0.016481399536132812,0.06330239772796631,0.037750180810689926,1.7476927042007446,-0.2992919087409973,2.9920668601989746,0.15597907,126.1277,Clouds
213209.581,-0.27563613653182983,0.17632699012756348,0.11184030771255493,2.5716090202331543,-0.6620450615882874,2.596696138381958,0.14977702,126.1277,Clouds
213209.611,-0.3690963387489319,0.1277126669883728,0.16658246517181396,2.657968044281006,-0.5631994009017944,2.287388324737549,0.24054153,126.1277,Clouds
213209.641,-0.2753472924232483,-0.05971729755401611,0.14383316040039062,1.9308432340621948,-0.2159189134836197,2.1568028926849365,0.22046311,126.1277,Clouds
213209.671,-0.18781507015228271,-0.2645915150642395,0.13533535599708557,0.9929146766662598,0.04093076288700104,1.9373384714126587,0.21100895,126.1277,Clouds
213209.700,-0.16365396976470947,-0.36735671758651733,0.18167084455490112,0.4583039879798889,0.22972461581230164,1.4741212129592896,0.19570775,126.1277,Clouds
213209.730,-0.17318248748779297,-0.3506806492805481,0.18387264013290405,0.2630515992641449,-0.05254778265953064,0.7470823526382446,0.18677522,126.1277,Clouds
213209.760,-0.23634856939315796,-0.29450178146362305,0.20404782891273499,0.06767643243074417,-0.25141000747680664,0.22085776925086975,0.1711281,126.1277,Clouds
213209.790,-0.2910332679748535,-0.2394160032272339,0.18383392691612244,-0.3027993440628052,-0.34230127930641174,0.029114967212080956,0.16036518,126.1277,Clouds
213209.820,-0.3428327441215515,-0.20499742031097412,0.18176484107971191,-0.5765277147293091,-0.0904717668890953,0.1547960489988327,0.14224012,126.1277,Clouds
213209.850,-0.345950722694397,-0.2285814881324768,0.15328505635261536,-0.6679273843765259,0.14399679005146027,0.281510591506958,0.13955541,126.1277,Clouds
213209.880,-0.33120742440223694,-0.28899312019348145,0.12401233613491058,-0.5144253969192505,0.32428303360939026,0.23018315434455872,0.22907703,126.1277,Clouds
213209.909,-0.3396969437599182,-0.2864910960197449,0.08820432424545288,-0.3790850043296814,0.23160164058208466,-0.14537593722343445,0.21538743,126.1277,Clouds
213209.939,-0.38896626234054565,-0.1763221025466919,0.10177271068096161,-0.3106447160243988,-0.0455283597111702,-0.675334095954895,0.2329581,126.1277,Clouds
213209.969,-0.4488081634044647,-0.05357569456100464,0.06254589557647705,-0.5566986203193665,-0.24869245290756226,-0.9868052005767822,0.24798693,126.1277,Clouds
213209.999,-0.44626596570014954,0.024278998374938965,-0.0045473575592041016,-1.0140024423599243,-0.2718221843242645,-1.2058566808700562,0.23904578,126.1277,Clouds
213210.029,-0.4740867018699646,0.198095440864563,-0.10032909363508224,-1.4841253757476807,-0.4712729752063751,-1.6909081935882568,0.2288989,126.1277,Clouds
213210.058,-0.5152360200881958,0.2721603512763977,-0.06889426708221436,-1.428100824356079,-0.2862844467163086,-1.855525016784668,0.20991662,126.1277,Clouds
