,activity,mean_AccelX,var_AccelX,mean_AccelY,var_AccelY,mean_AccelZ,var_AccelZ,mean_GyroX,var_GyroX,mean_GyroY,var_GyroY,mean_GyroZ,var_GyroZ
0,running,0.6555066356834557,2.7971106524419493,0.6197049284265155,2.826555745328993,-0.01623387084830375,0.5745685175168462,0.3545240090475307,7.280639878000552,-0.17710289415914476,8.728725050292478,-0.15915353223681444,23.36190966195462
0,running,0.31077251002369893,1.6718908117588012,0.2830176886969379,1.0029804725252711,0.08075992638866107,0.24445030950730195,0.08561123959952965,2.745759736527231,-0.34038690339297145,4.964332558656586,0.21933809789784608,11.72496291867569
0,running,-0.355340693123816,2.2979280755449785,0.1747963380600725,1.4807068512982473,-0.21443509552738674,0.20182944005276388,0.4806863317665245,4.940161068715015,0.2721884301808175,5.859143970859814,-0.13497741167832697,10.277152979952563
0,running,0.37911512179388884,1.6316852364680976,0.13311429827341012,0.9915215052454964,-0.01544242442053343,0.32741196589564925,0.7661754820908842,3.2250058482994812,-0.05018764969316267,5.985605098189525,-0.20742581769203147,13.610083489844333
0,running,0.2217647387158303,1.4392725500416794,0.1239796413463496,0.9031238045371706,-0.08958077570423484,0.2679333181859292,0.7402442475514752,4.005421827928199,0.15543553304658936,5.037530697733734,-0.5086291715547088,8.951447756969236
0,running,0.4813865339383483,2.367973968538767,0.21974541552897012,1.5975633658806918,-0.027442065976737505,0.28970752626023244,0.19804056786787919,4.116899456949351,-0.058097734415371506,4.390281999658273,-0.08734331193513103,17.313750038726987
0,running,0.4712067847805364,1.6261923422279168,0.3371294616677222,1.3417430990660077,0.07788405288010836,0.4149564452698434,-0.14476330299900533,8.101495435727477,-0.14060381850556172,7.482821365603787,-0.21100744885708472,15.473477087331538
0,running,0.32612335956877186,1.8710311453462574,0.33598773097175927,1.0794062932627524,0.09936747243184418,0.4690405395525742,-0.53452424687982,5.204291805977381,-0.30915861749201123,10.000708223291745,0.03476285293609614,10.726090867495596
0,running,-0.21558457223831543,1.447816362191276,0.18306532810397802,0.926319618248757,-0.15604035817973672,0.1936289509094134,0.4351479638107343,5.279884149496035,0.39471666552569895,7.163031510724732,-0.03978044001546334,8.391583379609056
0,running,-0.2964209834379809,1.870224056892119,0.13827517123094626,1.3835509025659718,-0.2910481153854302,0.15188950560387296,0.45079235185957733,6.721859977516786,0.21326279743585647,5.4623107774812985,0.03795915345350901,7.979311836904115
0,running,-0.357015805407649,1.7002583907141364,0.11802433967767727,1.2319586271326715,-0.2617291977762112,0.2609088757893837,0.4745131484260561,7.673140049996897,0.387545526382469,6.822724386701333,-0.13129303287340527,12.205385043594413
