Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,AudioLevel,LightLevel,Weather
213916.259,0.4416338801383972,-0.5380708575248718,-0.6591724157333374,-1.7086493968963623,0.59740149974823,1.6600998640060425,0.038098726,17.525478,Clouds
213916.289,0.33749517798423767,-0.03335288166999817,-0.1499180793762207,-1.2282543182373047,0.16124066710472107,1.2391505241394043,0.04023734,17.525478,Clouds
213916.319,0.19530802965164185,0.0903356671333313,0.4503174424171448,0.6866823434829712,1.5279663801193237,1.1478339433670044,0.05206385,17.525478,Clouds
213916.349,0.21695542335510254,-0.043188780546188354,0.3482847809791565,0.337891548871994,0.8815074563026428,1.5637807846069336,0.06512615,17.525478,Clouds
213916.379,0.20016425848007202,0.16803887486457825,0.47511643171310425,0.0012212509755045176,0.13245119154453278,1.2458747625350952,0.07622666,17.525478,Clouds
213916.409,0.12397909164428711,0.3049660325050354,0.7306481003761292,1.0605300664901733,0.4743776321411133,1.0632067918777466,0.0739166,17.525478,Clouds
213916.439,0.11128014326095581,0.2705444395542145,0.666567325592041,1.3326548337936401,0.4974542558193207,0.9865607619285583,0.07261742,17.525478,Clouds
213916.468,0.12560147047042847,0.21485817432403564,0.5107185244560242,1.0033369064331055,-0.09707784652709961,0.8349888324737549,0.094921544,17.525478,Clouds
213916.499,0.08017522096633911,0.15265187621116638,0.4247448444366455,1.3681825399398804,-0.13969850540161133,0.4336426854133606,0.13923904,17.525478,Clouds
213916.528,-0.23707503080368042,-0.4030543267726898,0.44683754444122314,1.637282371520996,1.0386501550674438,0.5896456241607666,0.13153784,17.525478,Clouds
213916.558,-0.1892452836036682,-0.6051298379898071,0.17251718044281006,0.1253591924905777,2.5539658069610596,1.1833529472351074,0.14948796,17.525478,Clouds
213916.587,-0.012383729219436646,-0.25794699788093567,-0.11060899496078491,-0.785257875919342,3.227316379547119,0.4586831033229828,0.13955402,17.525478,Clouds
213916.617,0.011246904730796814,0.25764521956443787,0.34650474786758423,0.18145327270030975,4.369151592254639,-0.897087037563324,0.12866464,17.525478,Clouds
